run,metric,config_template,n_evaluations,best_eval_id,best_objective,best_score,PDD_melt_factor,log__Hmax_till,log__fdd_threshold,log__multipath_threshold_till,log__multipath_timescale_till,log__recession_coeff_deep_till,log__recession_coeff_shallow_till,log__recession_coeff_till
2026-06-19_094013_backbone_v1.0,KGE_logKGE,blue_earth_config_v1.yml,395,372,0.9547129693,0.04528703069999995,6.142479125,,2.995597001,,,,,1.21969195
2026-06-19_102319_backbone_v1.1,KGE_logKGE,blue_earth_config_v1.yml,404,368,1.00741105,-0.007411049999999975,6.333897599,,2.995602646,,,,,1.226997329
2026-06-19_112805_backbone_v2.0,KGE_logKGE,blue_earth_config_v2.yml,445,243,1.013937376,-0.01393737599999989,6.170118884,,1.037372352,,,2.500076208,1.000101611,
2026-06-19_120756_backbone_v2.1,KGE_logKGE,blue_earth_config_v2.yml,471,244,1.178022137,-0.1780221369999999,6.089140375,,1.033257125,,,2.500076208,1.000101611,
2026-06-19_124824_backbone_v3.0,KGE_logKGE,blue_earth_config_v3.yml,316,313,0.4881283495,0.5118716505,5.174922538,,0.3650612203,,,,,
2026-06-19_133758_backbone_v3.1,KGE_logKGE,blue_earth_config_v3.yml,317,314,0.3652912523,0.6347087477,4.36528255,,1.902817999,,,,,
2026-06-19_143241_backbone_v5.0,KGE_logKGE,blue_earth_config_v5.yml,340,335,0.3653619016,0.6346380984,4.365282993,,2.826152856,,,,,
2026-06-19_150525_backbone_v5.1,KGE_logKGE,blue_earth_config_v5.yml,340,335,0.3121262027,0.6878737973,5.94045268,,0.664770052,,,,,
2026-06-19_154351_backbone_v5.2,KGE_logKGE,blue_earth_config_v5.yml,365,362,0.2950301796,0.7049698204,5.94045268,,0.664770052,,,,,
2026-06-19_201900_d2a_static_b2,KGE_logKGE,blue_earth_config_v3.yml,648,626,0.3890491987,0.6109508013,4.214545396,3.331517045,0.9999237921,,,,,2.477810199
2026-06-19_202558_d2b_static_b1p15,KGE_logKGE,blue_earth_config_v3.yml,669,659,0.5340207087,0.46597929130000004,3.112562837,2.461449508,7.620789514e-05,,,,,2.011919777
2026-06-20_014413_backbone_v6.0,KGE_logKGE,blue_earth_config_v6.yml,722,699,0.2249230223,0.7750769777,6.059036217,,2.667352538,2.107364719,1.368692844,,,2.720078577
2026-06-20_015617_backbone_v6.1,KGE_logKGE,blue_earth_config_v6.yml,1109,1051,0.224923279,0.775076721,6.04566026,,1.18609968,2.10682771,1.367837799,,,2.718433314
2026-06-20_021629_backbone_v6.2,KGE_logKGE,blue_earth_config_v6.yml,952,941,0.2249224592,0.7750775408,6.040715311,,,2.107547425,1.368231747,,,2.719935287
2026-06-20_123348_backbone_v6.3,KGE_logKGE,blue_earth_config_v6.yml,940,937,0.2255053077,0.7744946923,6.021540506,,,2.104585729,1.399434239,,,2.72528756
