%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__routing_K neg_kge        
1        I1         1.861285023    2.334124015    2.711888592    0.05053750021  0.7654600043   0.208209793    2.342152889    0.3173196288   1.032161627    
2        I1         1.008724434    2.305676635    4.034865254    0.382103955    0.8610236011   3.583289689    2.556640794    -0.08311956606 0.5556215806   
3        I1         0.3728256627   2.47746857     3.583271132    0.4330385135   0.151121497    2.099368541    1.061299277    -0.9500031203  4.100444565    
4        I1         1.55234451     2.24825311     2.625546715    0.06347138941  0.2463200352   6.060494108    2.312635631    0.4778761474   0.9891083532   
5        I1         1.049861075    1.283430578    3.177042209    0.5854851737   0.4426261578   2.198446692    2.226022722    0.4122568209   0.5219327478   
6        I1         0.8414370897   1.689175818    4.357984449    0.4982750828   0.8883612712   4.795533659    2.327160829    -0.8299509834  0.5341384133   
7        I1         1.591137745    2.56527134     4.390373804    0.9304729949   0.8168480328   1.944446759    1.977964255    -0.5526245105  0.6228248709   
8        I1         0.553361954    2.318925935    3.690887563    0.6915519842   0.6010431956   1.29660512     2.081483326    -0.7792930597  1.024493239    
9        I1         1.674092136    1.433003144    4.075871714    0.1522689735   0.6400701768   8.246207784    2.173012391    -0.1376848021  0.8717369375   
10       I1         0.9170691111   1.128098203    4.285975636    0.176803382    0.3786067364   4.124568675    1.258000011    0.05866949235  1.136901431    
11       I1         1.539037421    1.524782968    4.445073272    0.9393210314   0.7319429299   1.724995369    1.785600641    -0.8896990977  1.693256231    
12       I1         1.736972913    1.089384525    3.294143353    0.6727332147   0.2299757445   0.7093392765   1.467987384    0.356939682    0.7388684232   
13       I1         0.7944527712   2.085767437    4.401371371    0.9721338354   0.6205541782   4.967030822    2.014679725    -0.515048171   0.9274440431   
14       I1         1.607192346    2.536586003    3.487997143    0.2681338213   0.1603355566   8.123806979    1.887639876    0.1494607469   0.6365045346   
15       I1         1.973633855    2.626616406    3.664249371    0.3151516292   0.8943826397   7.393651079    1.56710889     -0.8764082551  6.102997794    
16       I1         0.4016286348   2.542529793    2.610208957    0.8663153199   0.6129824364   1.782084131    1.996624366    -0.3080649762  1.804562931    
17       I1         0.3160663151   1.097353254    4.136342117    0.7031796      0.4883536824   9.1037054      2.725274879    -0.6105057431  1.943351511    
18       I1         1.57691792     2.506003395    3.574314535    0.4219138684   0.1718932345   8.552060966    2.375762359    -0.2841925987  0.7358991197   
19       I1         0.7312023572   1.557022881    3.735986787    0.5327328235   0.7426657893   9.856190522    2.154613196    -0.5417111604  0.6362871293   
20       I1         1.223180696    2.462591002    2.553667634    0.2285896653   0.2963966409   1.350039983    1.195658919    -0.657705632   5.380472       
21       I1         0.5688303017   1.919688301    4.297784858    0.2485902988   0.1170697451   5.489382569    1.094032013    -0.5223807456  3.806147054    
22       I1         0.6779745915   2.652883391    2.784622419    0.113720066    0.9849853431   3.769961236    1.497713748    -0.7226226829  1.136112043    
23       I1         1.943173811    1.126281319    3.30779728     0.4766684494   0.9266990333   8.445035646    1.90174378     -0.03183313532 1.635561623    
24       I1         0.7827219914   1.836495014    3.827213992    0.3397412588   0.1464932831   2.245178107    2.817009697    -0.5863470511  0.5942847452   
25       I1         1.98336308     1.872888018    3.180371454    0.18731588     0.6859801251   1.859937277    1.364058973    -0.6348998283  6.662107966    
26       I1         0.5149777703   2.057175774    4.336244821    0.8580020919   0.1678155591   4.359482509    1.730036568    -0.7738526646  1.64022571     
27       I1         0.7737662192   1.780322116    3.1970064      0.558378643    0.02994830241  4.728388251    2.936397314    0.198507218    0.4655673543   
28       I1         1.771281175    1.402946111    3.39532452     0.8731720152   0.5879647622   0.1807719634   1.874484318    0.2435696504   0.7973787082   
29       I1         1.272207432    2.110709864    3.103053777    0.217349812    0.7642913539   0.5881341888   2.490032122    -0.8820077025  0.7494531522   
30       I1         0.6141995046   1.56709405     3.122012242    0.9796379121   0.8113767914   2.829426214    1.311600339    -0.03623100944 1.661246427    
31       I1         1.182617716    1.513949634    2.854658815    0.3293674977   0.8574453403   6.934065212    1.223019915    -0.2928113648  3.549747407    
32       I1         1.154517324    1.43732954     3.713125202    0.07026284222  0.687578367    3.05496928     2.784025813    -0.9368867274  0.7116381459   
33       I1         1.043622035    1.163132893    4.199785706    0.2525859039   0.3635230936   0.7883891887   2.629893411    -0.9032928485  0.5967353971   
34       I1         1.096953965    1.250427937    2.63633544     0.2561986722   0.8789850653   6.251763132    1.031112954    0.2300342965   1.238166525    
35       I1         1.87357065     1.89441514     3.864345957    0.01798505188  0.09937325054  8.336986464    2.043637057    0.4749273479   0.6958823002   
36       I1         1.389069653    2.000293527    2.941521391    0.7568711672   0.8757510767   5.705490445    1.577128752    -0.3694401124  2.094351807    
37       I1         1.464272455    1.942919303    4.126820906    0.1590168536   0.6551352417   0.9808256413   2.762402845    -0.8509255716  0.8458413253   
38       I1         0.8102282188   1.732326328    3.288925612    0.7525369395   0.5389951992   3.295380328    2.63138056     -0.01965772103 0.5069451833   
39       I1         1.190534918    2.129130358    3.134494032    0.3003703613   0.0484617857   4.936652069    1.163320765    0.2599079478   0.9719200813   
40       I1         0.5328893243   1.847479596    2.922492251    0.3882659227   0.9345541318   3.635699302    1.390654797    -0.2618176342  1.124192565    
41       I1         0.3810226623   1.147302869    3.908262726    0.2415289168   0.3508865161   1.047536079    1.824029121    -0.5473268703  0.5915466019   
42       I1         1.839793129    2.412265176    3.994306987    0.8862005328   0.3286958889   2.796858207    1.527841217    -0.3854129459  4.690112434    
43       I1         0.3355633099   1.497129676    3.556788171    0.8478317      0.5414871675   2.95335473     1.177082975    -0.182426172   3.016579731    
44       I1         0.7532060067   1.977115245    2.994224371    0.923528304    0.3268439017   6.452092482    2.432667207    -0.7836986316  0.9760007112   
45       I1         1.330620213    1.211651357    3.877114796    0.8135260645   0.2130497318   9.694709661    1.056582065    -0.2478357112  4.670291954    
46       I1         0.4245520053   1.487714046    3.215936495    0.4681276703   0.5057330862   7.928094173    2.954102839    -0.5892269325  0.9105237753   
47       I1         1.980969714    2.204986631    3.448172915    0.4415317787   0.3921249435   2.017122039    2.00437422     -0.497871157   2.548042941    
48       I1         0.5405389815   2.232408175    4.223294394    0.7165018842   0.2851291717   5.122869491    1.337105899    0.4090611996   0.5196726145   
49       I1         1.681532474    1.019503261    4.172514511    0.2022170083   0.4079067984   8.89327451     1.422417805    0.2234402671   1.107946417    
50       I1         1.266772467    1.598521984    2.770685731    0.7913672041   0.9851536558   6.581371864    2.394412585    -0.4387368462  0.5402886372   
51       I1         0.8516816416   1.293362253    3.477901424    0.7997784599   0.5114201736   2.517408922    1.535698567    0.1794954991   0.505942475    
52       I1         0.4628172735   1.355304279    3.363630834    0.1046475444   0.7866513945   1.285742782    1.96475935     -0.1731093503  0.4942982145   
53       I1         1.372596453    2.668124379    3.680743783    0.7643641493   0.9251221617   3.172767327    1.718780808    -0.4824051491  1.117615866    
54       I1         0.7053730573   2.553750709    3.810259928    0.07700316282  0.2729843773   5.760776018    2.033206369    -0.233018638   0.9011369299   
