%eval_id interface log__t_recession_soil log__t_recession_intermediate log__t_recession_deep f_exfiltration_soil f_exfiltration_intermediate PDD_melt_factor recession_b_soil log__fdd_threshold neg_kge        
1        I1         2.506172757    3.001925911    4.56279257     0.08187029442  0.1117894441   0.9572361427   3.81835422     1.974810004    1.416633417    
2        I1         3.960592963    3.375641144    4.329993795    0.7426416074   0.7193760053   3.697353834    1.601842645    0.2342803905   1.464514841    
3        I1         3.64182676     1.675014969    3.708914537    0.4832078674   0.0890321183   4.331382158    1.738973243    0.4107358551   1.116151601    
4        I1         4.444522133    2.466688338    4.090689889    0.3240121076   0.04916239375  5.190489881    1.927126987    2.991132966    1.208583157    
5        I1         2.805916008    2.44538112     3.893108868    0.2578996488   0.4326145925   4.286154237    5.443402785    2.116017835    0.307297761    
6        I1         3.243920644    3.12097754     3.541364796    0.6602045533   0.2052308283   5.08417707     4.377266686    0.9477062294   0.1915902881   
7        I1         3.360102515    2.892347616    3.99823988     0.368880236    0.9170078746   0.4714102173   2.050071966    1.000439065    1.04459235     
8        I1         2.334402358    3.009355793    3.796296287    0.7300191398   0.4387943063   9.121403494    5.421167017    1.066911655    0.6068854739   
9        I1         3.387314999    2.851031158    4.432171739    0.3745234011   0.9751072237   0.1747179927   5.619102955    1.763299569    1.137626355    
10       I1         1.048812386    3.227580738    4.176258382    0.3637232882   0.4543216541   5.656863288    4.659102621    0.4341217125   0.6592713564   
11       I1         2.772149846    2.881848821    3.917340438    0.3820957175   0.03786302582  7.990311883    5.518346943    0.3854786578   0.2785926985   
12       I1         4.297127695    2.827790624    4.48176922     0.2137834302   0.4023888976   3.831712223    3.757490202    1.446196789    1.348086163    
13       I1         2.609437255    1.174471905    3.992601579    0.8439753187   0.4692989556   5.581352577    5.871506125    1.276744053    0.8693013382   
14       I1         3.761294158    3.55603549     4.578774884    0.5788593947   0.5611679837   1.177112345    4.421276697    1.956144609    1.482266154    
15       I1         3.181082234    1.308164404    4.386013343    0.2997027545   0.6515158266   4.894030408    3.903865097    1.514952042    0.930834953    
16       I1         4.0387544      4.342212523    3.779618818    0.5035474146   0.172586491    8.935380853    4.346777108    2.721607916    0.4099958537   
17       I1         1.69257658     1.771736516    4.808364715    0.4257638904   0.2717204916   3.215896412    4.520370033    2.340169959    1.84874558     
18       I1         3.908347021    3.59871733     4.297313474    0.8888690782   0.136307493    8.49266892     5.913164483    2.079389505    0.5889408157   
19       I1         1.82280631     1.965932345    4.510456334    0.941346387    0.3801969768   9.496401716    1.953929267    0.9863965661   1.363440477    
20       I1         1.455589026    3.758403617    4.868518716    0.02682032949  0.5056121611   9.435916875    4.196678741    1.296136568    1.965426099    
21       I1         3.527552553    1.524873965    3.613410887    0.8644663599   0.5565208168   2.858188311    3.650966391    2.001011056    0.2570697998   
22       I1         2.467628011    2.856966788    4.230772191    0.6558531331   0.7898699603   6.165109595    4.11180363     2.493968361    0.484930719    
23       I1         3.535513741    1.086583974    4.052199615    0.5837991308   0.3475140804   5.071982654    2.39989208     0.3986830698   0.7744364495   
24       I1         3.272974438    3.669300179    4.360553838    0.5574533339   0.367962828    0.7839750314   5.404613931    2.428877288    0.8200292802   
25       I1         4.028927922    3.846901192    3.885985635    0.9014394052   0.3128979224   8.449250233    2.015238104    1.694161574    1.035743431    
26       I1         3.194585434    3.093167245    4.063307776    0.2887668062   0.8329797208   8.13962312     3.10248983     0.04473927255  0.6736170767   
27       I1         2.945076724    4.026848521    4.415990643    0.4961993767   0.9466801024   6.903781316    4.153119366    1.072328431    1.041452758    
28       I1         4.154834095    2.273966363    4.949651502    0.333323562    0.10346091     2.715362389    2.624755036    0.1480514182   1.950078648    
29       I1         3.307213333    2.72964647     4.380787771    0.9485655461   0.8178788364   2.171727156    3.976636367    0.7398747344   0.8657596531   
30       I1         2.453297932    1.2780785      3.849085841    0.5167904168   0.1289259313   3.661604156    5.81559827     2.302330392    0.4050931677   
31       I1         2.570024593    3.136609742    3.959565825    0.7000810092   0.3045696348   7.652579117    4.604575241    1.237029339    0.3703334248   
32       I1         1.487739407    3.174235973    3.94033855     0.128473036    0.2484786123   1.502057478    4.032552349    2.379028174    0.5443951944   
33       I1         1.922865347    3.948961037    4.581079361    0.3703465277   0.1479898162   6.48335404     3.842025802    0.8332722562   1.48213077     
34       I1         1.518788655    1.010297402    3.818967023    0.4583877322   0.6121861275   3.372111183    4.73244235     1.491576353    0.5712145164   
35       I1         1.62204746     2.176547668    4.193051593    0.08532162429  0.9546232434   7.331916469    2.737515985    1.623398695    0.6691506193   
36       I1         1.540465155    3.109096827    4.504594779    0.2053694139   0.1081480773   5.385674145    1.91411443     1.742562084    1.384398782    
37       I1         4.078989467    3.974566911    3.78889101     0.7262102806   0.5927817656   3.347979457    2.835102862    0.5954491473   0.7378010536   
38       I1         3.506660635    4.237065746    4.426272251    0.6478459703   0.537096675    1.323055332    5.605366147    2.847197754    0.9778296583   
39       I1         2.078794567    3.430482987    4.871629654    0.9664733799   0.7618330616   9.391928479    3.213180064    1.853799801    1.925860488    
40       I1         1.280097863    3.62557433     4.402770533    0.8487916483   0.7449829453   5.451772094    3.250365594    0.8916820488   1.145540251    
41       I1         3.255336604    1.598534853    4.047417947    0.1985720714   0.6802152624   4.217818408    3.791701667    0.005059092713 0.4129746796   
42       I1         2.73254584     2.91592365     3.723050679    0.4094759667   0.2271843178   4.529884387    2.657254476    2.780243909    0.5695916819   
43       I1         3.184669178    3.131750265    3.635914016    0.307045893    0.8689908005   4.126543821    1.760460971    0.5462182917   1.072034479    
44       I1         3.113441549    4.20973097     3.772429689    0.1603838599   0.9087467498   7.21046598     5.714167053    2.754979213    0.6313227851   
45       I1         2.251818995    3.075241174    3.907005807    0.3091048798   0.4753711493   9.36699869     5.478121336    2.463665446    0.3800995213   
46       I1         4.279260926    2.249835332    3.811379213    0.6177638289   0.4273640679   4.45813412     3.866690096    1.810518616    0.4878298233   
47       I1         3.227291796    3.695303249    4.758476302    0.1752551528   0.3073840553   5.484717207    5.152151866    0.4685879183   1.744848289    
48       I1         3.355867037    1.185680255    4.105097614    0.6465402684   0.8537564426   1.683142635    2.49616516     1.922017452    0.7054923971   
49       I1         4.404363689    4.282982434    4.269759336    0.2366521052   0.2751800928   5.618450393    5.650162769    1.035058946    0.5987367876   
50       I1         1.217624982    1.512522533    4.739937736    0.07083899011  0.4360470655   5.939641469    2.645719985    0.25877566     1.891702349    
51       I1         2.370754577    1.440281823    4.619123045    0.4496035419   0.3509214385   6.61131203     2.514779428    1.526052728    1.594915406    
52       I1         2.896221043    2.762214977    3.689700947    0.1339867501   0.9023741      7.427576021    5.18473893     0.7020075113   0.4520444138   
53       I1         2.863760407    3.441777074    3.668891477    0.4528106755   0.9224487796   2.908796736    3.332290459    1.317227462    0.3922363045   
54       I1         3.735987406    3.688837636    3.508148012    0.1911231965   0.06784710513  8.264963864    3.279324087    2.322124854    0.7335341317   
55       I1         2.494801485    3.21121194     4.665197178    0.7827888579   0.6270359666   7.952141837    1.537803844    2.733793839    1.823235525    
56       I1         2.093858383    4.075732469    4.07951693     0.6948103972   0.4617170534   7.105306752    1.682645881    2.901711027    0.5134063671   
57       I1         3.447527947    3.71508299     3.841652917    0.07903790755  0.871363053    4.60317251     4.763315067    2.614904444    0.7131897323   
58       I1         1.732670986    3.809639847    4.042631231    0.06864317479  0.8469582789   0.3582731703   4.610990882    1.897782895    0.6978730565   
59       I1         1.799070385    2.313137834    4.565531202    0.01128075689  0.01152641849  2.212150905    2.999891462    0.9111448851   1.473296506    
60       I1         4.326883862    3.8442284      4.453330652    0.1241161824   0.3850713039   9.583711601    4.992907678    2.920097012    1.247557734    
61       I1         2.886008814    3.479108359    4.30351576     0.7782062663   0.6953665752   9.218734886    3.720806454    2.983044912    0.6587445187   
62       I1         3.481375649    2.743261766    4.083939245    0.3534372038   0.04468927487  2.631645173    5.907327901    1.303218177    0.2620169004   
63       I1         1.441465725    4.478846872    3.680934571    0.9575132077   0.8629435835   9.006293536    2.226637103    1.653641993    0.7490380456   
64       I1         4.270315836    1.981744977    4.087229769    0.4844471541   0.8928641198   6.124559585    5.389096088    0.270269134    0.321695195    
65       I1         1.65026736     4.474760059    4.609254842    0.6890713407   0.2176088771   2.571069128    2.578834143    2.812525046    1.564746791    
66       I1         1.202695747    4.445347051    4.038351405    0.594645732    0.3027026087   2.389447736    2.482941024    2.875222482    0.4101996924   
67       I1         3.10896858     3.641117506    3.980459772    0.9105767505   0.6084285145   1.905774743    5.659914828    2.123645344    0.8760809335   
68       I1         2.672277775    3.537186315    4.408522879    0.1423160262   0.7943040718   3.161734854    5.119082503    2.133772125    1.096016198    
69       I1         1.999824421    3.254513066    3.872017079    0.1397966434   0.807958624    3.506294406    5.469052606    1.909603913    0.5185004141   
70       I1         2.718904229    1.415298496    4.825199887    0.152770079    0.3787398946   5.308717337    1.66338623     1.1473518      1.971930161    
71       I1         1.319652014    4.426422329    4.911750047    0.5950280336   0.964709477    0.5941868708   2.966942612    1.708122614    2.019661627    
72       I1         3.722355696    2.636496899    4.79224147     0.7390744977   0.941542642    2.28079469     3.130616328    1.631392662    1.954237846    
73       I1         4.371708425    2.409807729    3.931671953    0.7968582963   0.220584488    3.465457878    5.721000043    2.275028899    0.3012346434   
74       I1         3.714275963    1.458111611    3.664875627    0.3027917464   0.9527122088   1.57776624     4.216862961    2.103490634    0.3763724491   
75       I1         3.279091872    1.676667918    4.970312518    0.588488354    0.4302886432   1.28832285     4.748533382    0.6985175133   1.812298659    
76       I1         4.338487117    4.011574326    4.858524663    0.5112211774   0.2819903394   9.082364385    2.2948897      1.730970536    2.061973195    
77       I1         4.35910109     4.317959153    4.356626615    0.1060554789   0.4123488404   6.850141074    3.146911938    1.962334482    1.185138824    
78       I1         2.492614659    2.591119624    4.768351405    0.9125552918   0.8350015658   4.166339747    3.11542796     0.155087912    1.839116982    
79       I1         2.191956993    3.272868401    3.743459489    0.5617577824   0.08285317218  5.436145523    4.950704397    2.447861487    0.3337983681   
80       I1         4.015668183    2.554057225    4.262113436    0.4342557839   0.7707287291   4.956372551    4.388397846    2.458816046    0.7207619457   
81       I1         2.247495323    2.956549244    4.661036285    0.5475402506   0.813832477    7.899259404    3.478669227    1.363241007    1.713971651    
82       I1         3.966418466    4.08618395     4.93669399     0.3617429562   0.1739787854   7.534625544    1.900812999    0.7966137695   2.056355416    
83       I1         1.072386537    2.45323084     4.218159995    0.3297835083   0.4827215116   0.1383557627   4.9169376      2.681929217    0.6947096458   
84       I1         1.757210096    3.957342796    4.676175399    0.03599679946  0.6720925495   5.044471134    4.474629078    1.057347563    1.800704776    
85       I1         1.255410677    2.246380557    4.375696499    0.5353698492   0.2087928288   8.799554718    3.226932053    0.1090151029   1.018808134    
86       I1         4.421874554    4.40339074     3.717056883    0.6853682706   0.5312512202   2.089410644    5.375664336    0.1600216106   0.2059468199   
87       I1         2.816703765    2.361795178    3.590844564    0.9308505921   0.6208331469   7.256774185    1.69985291     2.473719112    0.7353002477   
88       I1         2.020657695    1.357837068    3.854733149    0.127562032    0.9584592573   3.251303546    3.577514615    2.973675875    0.3217409119   
89       I1         1.556394392    2.391430581    4.960211141    0.8096779854   0.653742217    6.983470842    3.063546476    2.030220468    1.959213928    
90       I1         2.776191368    1.979036938    4.247393474    0.2011009297   0.8435021733   4.715888998    1.617094651    1.027393238    1.143284398    
91       I1         2.524688618    2.671076524    4.278421151    0.4895793974   0.07391524674  2.653942694    5.143497276    2.513835711    0.5680846697   
92       I1         1.618263504    3.412708496    4.629560838    0.8583340564   0.4484366104   9.174741589    5.332028234    1.571044989    1.769742046    
93       I1         1.700313241    4.047729107    4.719299654    0.4085227492   0.7289337692   3.614292698    3.175234303    1.336880903    1.829110497    
94       I1         3.770028802    1.795286066    4.992183092    0.03765811168  0.2464161253   6.634035164    4.684110638    1.461006211    1.727743693    
95       I1         2.662446506    2.160792011    4.833557562    0.3136359659   0.2935083771   5.275197541    4.925759704    2.63306504     1.763366117    
96       I1         3.821005874    4.094341045    4.601083691    0.5377850523   0.827400762    2.183137175    3.673426013    0.7605917496   1.610655546    
97       I1         1.26864588     4.435918817    4.634652322    0.7660642874   0.1214055083   7.187073331    5.747620302    0.1708686619   1.79556714     
98       I1         2.700639598    4.220011254    4.953433392    0.8608480364   0.1505513559   4.727184153    1.582923175    0.3034123706   2.011139874    
99       I1         1.63789686     3.997079929    3.791413702    0.0903694521   0.5788924596   5.774861325    1.67575642     1.216890575    0.6918946909   
100      I1         3.862760596    2.076392035    4.235789382    0.9169635703   0.685109752    1.059934205    3.352474626    1.435323951    0.6578586727   
101      I1         2.989150899    2.101996811    4.008842915    0.7643935641   0.7841465648   0.6063780837   2.113455682    1.712002352    0.6917219419   
102      I1         3.631466072    2.61227307     4.281611945    0.8392264346   0.7054546704   6.710055755    2.354003222    0.1265346684   1.024494052    
103      I1         1.35765813     2.523942431    4.880159369    0.6817590328   0.633732568    9.767570232    4.312353556    0.6182917958   2.011750732    
104      I1         3.229612789    1.060961957    3.596579127    0.2944660222   0.09677803858  3.289680331    3.562023429    0.09652809674  0.4220447129   
105      I1         2.102026021    3.501492128    4.448286767    0.3908718751   0.5857182627   7.772486148    5.947796878    2.193065111    1.172869496    
106      I1         2.363233683    4.166877031    4.137498926    0.3579996258   0.2375262317   5.736727176    5.000954441    0.6273333389   0.3454726029   
107      I1         2.905874802    2.983731535    4.324802023    0.989453186    0.607010724    8.654259139    5.785940181    1.165720157    0.7958457409   
108      I1         1.406842052    3.032664127    4.775180653    0.07396129374  0.3931840479   6.409110143    5.247326643    1.721838804    1.887308718    
109      I1         3.310498345    1.535204701    4.272725886    0.2099069187   0.7659888071   2.999869278    2.593861231    0.5036395973   0.9472350427   
110      I1         3.933589564    2.187559379    4.143210819    0.9358103204   0.4473012554   9.548449799    4.648949323    1.682260491    0.3026042925   
111      I1         3.602386329    3.326396102    4.838226788    0.5279734897   0.6156617733   7.662693208    3.417494791    0.8698789191   1.925876702    
112      I1         1.846957603    2.751488006    3.645172422    0.3832702037   0.9310201391   1.957400108    5.820486019    0.2946714694   0.5045038874   
113      I1         3.677057953    3.049392077    4.519375785    0.3334357705   0.9190928976   3.991173488    5.191539007    1.798035012    1.385459162    
114      I1         1.170953733    1.238939123    4.906027345    0.7772854328   0.836560833    2.946877912    4.445850672    1.242224447    2.091572009    
115      I1         2.326942602    1.616971711    3.53698483     0.1094647061   0.9267890524   7.751662791    5.962709885    1.587008286    0.4578352692   
116      I1         3.886396623    1.625438518    3.678082803    0.9197970148   0.9713532722   8.751343945    2.421892063    1.111286656    0.8295557616   
117      I1         2.91627908     2.32572468     4.683484523    0.06021600091  0.9379771955   7.15887715     5.283709154    2.232423802    1.79675716     
118      I1         1.036524918    2.477713992    4.03340084     0.03961106068  0.739563675    0.4383188587   5.048276727    2.021026004    0.7321185143   
119      I1         3.810809052    3.087079881    4.128173892    0.1350522446   0.8969460614   7.407846489    2.206737413    2.38867114     1.159667024    
120      I1         1.368982767    4.117933596    4.68562436     0.7502022129   0.03575032858  2.505893795    4.846820409    2.697099797    1.824910982    
121      I1         1.223474689    2.9798408      3.513992575    0.09506460568  0.6674393617   5.133200276    3.044377625    2.64381719     0.6990802006   
122      I1         1.242056673    1.787009091    4.934792499    0.9711978667   0.7807575394   6.440097854    5.068685212    2.663597072    2.130089533    
123      I1         2.995913025    1.942372945    3.554562642    0.768180211    0.3251547208   3.013930012    5.892180884    2.543817294    0.6081244711   
124      I1         2.643698253    4.459085778    3.804527258    0.1861942359   0.08592714136  4.884283603    5.800193836    1.501996075    0.3798616546   
125      I1         2.427014119    4.294273276    4.624231967    0.4563962076   0.7065786773   8.569121207    5.079261189    2.20981977     1.607395148    
126      I1         2.404478235    2.211209543    3.976192295    0.2345873294   0.5424318474   6.296109337    5.112571019    1.152838573    0.3309237006   
127      I1         4.481463745    1.86123137     4.889923412    0.5638427568   0.5132588444   3.177402617    4.708410894    1.646402055    1.88096338     
128      I1         3.845985729    2.694886425    3.926124137    0.02456168552  0.7113755041   4.019669975    4.076656315    2.242356466    0.7208138127   
129      I1         4.139530182    2.21837876     4.520355411    0.9063060078   0.3380955784   4.999514334    1.828209244    2.809087969    1.72015256     
130      I1         3.509154396    2.295243783    3.528708839    0.8532681676   0.1685791455   9.526076387    4.053238178    1.981851762    0.2559444828   
131      I1         2.387296134    2.133627287    4.119314366    0.8179985224   0.6889461185   5.682692331    1.868672085    0.245910656    0.5077831759   
