run,metric,config_template,n_evaluations,best_eval_id,best_objective,best_score,PDD_melt_factor,et_scale,f_exfiltration_deep,f_exfiltration_soil,log__H_threshold_deep,log__fdd_threshold,log__leakance_R_intermediate,log__multipath_threshold_soil,log__multipath_timescale_soil,log__recession_coeff_deep,log__recession_coeff_intermediate,log__recession_coeff_soil,log__t_recession_deep,log__t_recession_intermediate,log__tau_tile
2026-06-17_181925_backbone_v1,KGE_logKGE,cannon_config_1893_2024.yml,1600,1597,0.2494852236,0.7505147764,5.61056713,,0.4328203447,,2.798357124,2.904192387,3.108478009,,,,,,4.131880144,4.856558642,
2026-06-18_090613_backbone_v2,KGE_logKGE,cannon_config_1893_2024.yml,1600,1597,0.2494852236,0.7505147764,5.61056713,,0.4328203447,,2.798357124,2.904192387,3.108478009,,,,,,4.131880144,4.856558642,
2026-06-18_120126_backbone_v5.0,KGE_logKGE,cannon_config_1893_2024.yml,1595,1593,0.8641459292,0.1358540708,5.502771267,,0.01000669528,,1.223381036,2.980895544,1.490740741,,,3.987847222,4.999972672,,,,4.099151235e-05
2026-06-18_125129_backbone_v5.1,KGE_logKGE,cannon_config_1893_2024.yml,1602,1599,0.8846735919,0.11532640810000006,6.761753541,,0.3159580333,,1.720318276,2.656150521,3.363403615,,,4.227322946,4.992194528,,,,0.005742743703
2026-06-18_133821_backbone_v5.2,KGE_logKGE,cannon_config_1893_2024.yml,1607,1601,0.8750506387,0.1249493613,7.045659722,,0.0107183642,,2.080353009,2.99851466,0.5092592593,,,4.041763117,4.998019547,,,,0.0009902263374
2026-06-18_193035_backbone_v6.0,KGE_logKGE,cannon_config_1893_2024.yml,1609,615,0.7378381319,0.2621618681,8.87962963,,0.3023868313,,1.159465021,2.672839506,1.490740741,,,3.860596708,4.997256516,,,,
2026-06-19_002658_backbone_v6.1,KGE_logKGE,cannon_config_1893_2024.yml,1605,1600,0.3682323779,0.6317676220999999,5.465141782,,0.5812192644,,1.303497942,2.960442387,0.8240740741,,,3.001784336,4.814660494,,,,
2026-06-19_011437_backbone_v6.2,KGE_logKGE,cannon_config_1893_2024.yml,1612,1607,0.3923158084,0.6076841916,5.853483796,,0.5870417953,,1.173868313,2.960442387,1.990740741,,,3.019772377,4.382716049,,,,
2026-06-19_020033_backbone_v6.3,KGE_logKGE,cannon_config_1893_2024.yml,1604,1603,0.3810373344,0.6189626656,5.63755787,,0.5856617798,,1.159465021,2.960442387,0.9907407407,,,3.096193416,4.201646091,,,,
2026-06-20_080157_backbone_v7.0,KGE_logKGE,cannon_config_v7.yml,1654,1646,0.2903613196,0.7096386804,7.25712963,0.6912831147,,0.7093664266,,2.650617284,,2.097953639,1.355491255,,,2.441597544,,,
2026-06-20_105035_backbone_v7.1,KGE_logKGE,cannon_config_v7.yml,1471,1449,0.295052328,0.7049476720000001,7.296491127,0.6923798654,,0.7418317044,,,,2.092137131,1.349751372,,,2.425667653,,,
