%eval_id interface log__t_efold_shallow log__t_efold_deep f_exfiltration_shallow PDD_melt_factor log__Hmax_shallow log__routing_K neg_kge        
1        I1         1.481046761    3.094573358    0.2766227442   2.084317326    2.186241806    -0.6970653726  0.7718487813   
2        I1         2.572960423    3.982519646    0.2810630211   8.56381003     2.792574023    -0.8106000026  1.223956205    
3        I1         1.038137795    3.564858581    0.2974330863   5.676746985    2.651490575    -0.2076960981  0.7069965334   
4        I1         0.9997412664   2.862830669    0.391601293    4.935173303    1.269304644    -0.5864505736  3.565295821    
5        I1         2.93723488     4.09476472     0.1000544076   5.837217607    1.157549767    -0.2469563885  5.698878377    
6        I1         2.304803043    3.345997005    0.7470555687   4.172701562    2.277106731    0.1445347944   0.9155422744   
7        I1         2.289017751    2.098154193    0.807142244    9.984433767    2.743472252    -0.2987290529  0.9170033329   
8        I1         2.267882963    4.511319999    0.6292693526   4.770273266    1.676453576    0.4459848008   0.6236852628   
9        I1         0.4614101847   2.495211811    0.9556971294   2.386959139    2.397336664    -0.478422242   1.864468023    
10       I1         0.624113242    3.523534583    0.5762340027   0.9571444641   1.859345819    -0.9378802057  0.713888451    
11       I1         2.376129019    2.927852454    0.385462062    1.445548763    1.064137116    -0.3546238623  6.511830381    
12       I1         2.47276252     3.450190027    0.02165268772  2.168253921    2.660468116    -0.3805678978  1.081409952    
13       I1         1.066676104    3.943061788    0.5333375683   0.9388627535   1.12558514     -0.3042688801  4.130601226    
14       I1         1.396706634    3.67177655     0.6427283375   3.921257791    1.352350799    0.09371898642  1.410744773    
15       I1         0.8766856238   3.01852052     0.8000462248   0.3842175057   2.256551776    0.00417267827  0.4503627387   
16       I1         1.605578382    3.920543611    0.2601302904   8.619482994    1.812054691    -0.9424268862  2.078125989    
17       I1         1.490955826    2.132139482    0.4231211666   2.438914568    1.595288541    0.4343618923   0.4853256572   
18       I1         1.936867397    3.37546338     0.2136000084   0.8845924409   1.940625036    -0.4218379629  2.59873359     
19       I1         2.425493868    3.551888919    0.8161972592   9.254339206    2.14739056     -0.4722288349  4.503502332    
20       I1         2.132029458    2.397738489    0.9340472915   6.961210775    1.191797665    -0.8564339274  7.761934778    
