%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold baseflow_Q     log__routing_K neg_kge        
1        I1         0.4423657064   1.793080032    4.199785706    0.1211426688   0.3368864109   2.745035188    1.488318497    2.219610289    0.1459687287   -0.9980545135  0.9931406002   
2        I1         0.6022293771   2.152574619    4.172514511    0.784987453    0.8862407109   9.507725647    1.244573648    1.622544334    0.2081101843   0.2783298605   0.5343858123   
3        I1         1.763925888    2.68783041     4.200932026    0.2955854276   0.4564087718   8.097781065    1.91254571     0.9053462594   0.07074420684  0.5455694798   0.9268285811   
4        I1         0.9287867655   1.402946111    3.222304965    0.1590168536   0.2590210574   3.326900484    1.51539879     2.344272776    0.1765354397   -0.6726587056  0.8715638797   
5        I1         1.782005308    1.977115245    4.478365765    0.651920224    0.1678155591   3.14755921     1.117540016    2.824513642    0.2746625588   0.8897844816   1.119033974    
6        I1         0.7944527712   1.283430578    2.517908039    0.5086660562   0.2024594346   9.991714094    1.692970203    0.4326027368   0.2356417662   -0.06298993815 0.7627589355   
7        I1         1.922741166    2.604477542    2.915510221    0.5638364349   0.7583853412   8.590859009    1.627469842    2.768673585    0.05286439437  -0.02203825858 0.4919348797   
8        I1         1.272207432    1.543263755    3.278778149    0.9612380033   0.5218425283   6.860116878    1.80580799     2.446880534    0.24104769     0.4489506757   0.716839819    
9        I1         1.20888945     1.942919303    4.152292324    0.5888760907   0.6010431956   3.510819458    2.222455318    2.955752295    0.1753079175   -0.2807772382  0.8113791539   
10       I1         1.311619337    1.028271672    3.727471997    0.2856764246   0.687578367    5.936447582    2.255467775    0.2981488567   0.1787234759   0.1512880353   0.8246577841   
11       I1         1.501985263    1.945292096    3.177042209    0.4088656905   0.07153671873  8.042952388    2.763191849    2.606592097    0.2259253593   0.4755614028   1.160678861    
12       I1         1.182617716    2.412265176    3.735986787    0.05053750021  0.1826518913   1.29660512     1.646961503    1.072711507    0.2696470491   0.08707755232  1.216895231    
13       I1         1.688565927    1.682658681    3.690887563    0.2022170083   0.2633067763   0.6736454139   2.501488129    1.229174108    0.09326236789  -0.1571790295  1.103811123    
14       I1         1.464272455    2.183767031    4.004195038    0.7974454449   0.7642913539   3.583289689    1.012927465    2.034827753    0.08523625186  0.4205037677   0.3629315021   
15       I1         0.8516816416   1.506790343    4.214466027    0.5692604473   0.5722213742   2.245178107    1.572937828    1.189815824    0.1419567927   0.7687462438   0.7124682402   
