%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold snow_insulation_k baseflow_Q     log__routing_K neg_kge        
1        I1         1.696146187    2.159405959    2.932351306    0.3825326016   0.9796752624   8.445035646    1.51539879     2.263476683    0.08826771987  0.03282092442  0.2840585365   0.2397595509   
2        I1         0.3665247071   2.68783041     3.242283537    0.3718642419   0.0289882697   5.122869491    2.925735374    0.7446692734   0.0640142716   0.09218920628  0.6543002893   0.5699228297   
3        I1         0.3810226623   1.111207504    2.922492251    0.04624513343  0.1419592755   4.359482509    2.597056382    2.137298854    0.04957619494  0.1405515093   -0.8086439485  0.6930489835   
4        I1         0.6855942515   2.069102264    2.654786181    0.5854851737   0.6585332783   4.795533659    2.369755719    1.635147656    0.03139018999  0.2291701667   -0.8244566219  0.5228030241   
5        I1         1.52698874     1.147302869    3.42561734     0.2285896653   0.2963966409   0.6736454139   1.584984229    0.7096477183   0.06817328631  0.1335102862   0.6696602998   0.5822814796   
6        I1         0.6291513254   1.361384978    4.094441589    0.8183059822   0.5218425283   1.578773868    1.857330859    1.174406162    0.09356310369  0.2877266686   0.5593391395   0.5900365109   
7        I1         1.134513451    1.019503261    3.837321156    0.1755136478   0.7372736794   4.333426039    1.076624096    1.355170059    0.1436205629   0.118446131    -0.7161601975  0.6519145603   
8        I1         0.7737662192   2.152574619    4.297784858    0.8681825689   0.3268439017   8.89327451     1.455073717    0.8215461351   0.02116777632  0.2366690096   0.2342803905   0.5137367464   
9        I1         1.078928625    2.668124379    3.044128049    0.1046475444   0.2299757445   8.796494637    1.988281074    1.257883007    0.03287626055  0.2996785484   0.3576381975   0.9646062738   
10       I1         1.638273917    1.886373824    2.538179608    0.7759797059   0.08092113079  9.856190522    1.596636268    0.2471834899   0.1101631627   0.1675234303   0.9739091175   0.576252258    
11       I1         1.749238512    2.695719894    3.690887563    0.8731720152   0.7319429299   4.452162135    2.56921467     2.688801086    0.126375047    0.07600387483  0.7740339214   0.628672347    
12       I1         1.23627656     2.616901197    3.773679828    0.8252154038   0.5389951992   2.919820596    1.106618721    1.653781299    0.1356136066   0.169051677    -0.3194070331  0.5944645467   
13       I1         1.389069653    1.083198933    4.034865254    0.04281589581  0.7642913539   9.507725647    2.585269133    1.021453014    0.1291446451   0.03477513039  -0.8772595746  0.4955129546   
14       I1         0.7312023572   1.883261704    3.01046998     0.365279752    0.5057330862   5.978678452    1.30241882     0.7789885138   0.09937468518  0.05500719663  -0.6087949966  0.4182387131   
15       I1         1.102904672    1.305017817    2.644512462    0.382103955    0.8974859361   6.860116878    3.361107015    2.358990998    0.04136965574  0.2603451011   0.6273333389   0.6759088822   
16       I1         0.8102282188   2.110709864    3.501041045    0.5464695878   0.1919118726   9.841775118    2.109549846    1.431614803    0.08887906592  0.160248983    -0.0920954362  0.5521580712   
17       I1         0.6553529962   1.224759496    2.571287427    0.9612380033   0.4246184373   8.097781065    2.827058448    0.8575615895   0.120523845    0.06283499333  -0.9519910905  0.9270521045   
18       I1         0.8821798522   1.712974657    4.429994142    0.4681276703   0.3414622524   6.138323028    1.747056741    0.9443455124   0.09687939109  0.1588523885   -0.05789034453 0.6444337046   
19       I1         1.754165204    2.299507961    2.994224371    0.1365093359   0.1898148325   1.285742782    1.91254571     2.055934242    0.06145809899  0.1544377625   -0.331226698   0.7424295728   
