%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold snow_insulation_k f_direct_runoff baseflow_Q     log__routing_K neg_kge        
1        I1         1.272207432    2.523376056    4.306825615    0.7495471175   0.3508865161   5.002589404    3.386731765    1.122526308    0.07097839637  0.07470678486  0.1300193836   0.7709886684   0.3024937827   
2        I1         1.539037421    1.061800788    2.83204905     0.3521041237   0.08719938606  8.89327451     1.204150956    1.053967897    0.09937468518  0.4303338745   0.06915390068  0.01913880087  1.080902989    
3        I1         1.853645615    2.316377652    4.417192063    0.5086660562   0.06669942403  2.198446692    1.622142185    2.744544277    0.06817328631  0.4994642473   0.2832268988   0.9830449123   0.2393486698   
4        I1         0.3728256627   1.476827842    4.081349423    0.08766672647  0.06154652329  5.440009602    2.313800446    2.955752295    0.02380100345  0.3053817432   0.1135243376   0.2098197696   0.502893659    
5        I1         1.389069653    2.103798969    4.168659817    0.4927495471   0.8056751453   8.936209867    2.959254627    1.097636174    0.1397374954   0.348453611    0.1756302993   0.3886711399   0.235538366    
6        I1         1.910222725    1.809580411    3.583271132    0.2561986722   0.5615971726   8.004857896    2.014719743    2.1564407      0.06308132851  0.07565487787  0.1320486019   0.9481632319   0.2141653918   
7        I1         1.594082283    2.264217556    3.066677678    0.6610366424   0.3536942089   4.188251874    3.14079486     2.824513642    0.02509708657  0.3395861573   0.1596847579   -0.9726067624  0.4875800909   
8        I1         1.067199112    1.128098203    2.738898102    0.8663153199   0.7319429299   9.776148407    1.375566622    2.336997822    0.04479664531  0.02723103831  0.1905403701   0.6635970716   0.2219441542   
9        I1         1.453500029    2.037184526    4.260009646    0.3448198588   0.2931487373   4.124568675    2.827058448    0.301226491    0.0903628085   0.4122566771   0.1150162769   -0.927671569   0.7748838698   
10       I1         1.922741166    1.732326328    4.251197975    0.01798505188  0.08092113079  0.80618625     3.001111917    0.9765149368   0.1005065745   0.3324012289   0.254777627    0.5138357108   0.2167366193   
11       I1         1.497551585    1.107859401    4.214466027    0.1431957361   0.2769640907   2.017122039    2.808883335    2.460068593    0.08542902613  0.1638235039   0.0284277666   -0.7038634318  0.5746927671   
12       I1         0.7405778344   1.61212834     2.822218806    0.5822604601   0.8757510767   2.517408922    1.51539879     0.4326027368   0.06192180875  0.0004863716272 0.007788739785 0.8313800208   1.65573089     
13       I1         0.7944527712   1.664404193    3.706033907    0.9694566188   0.9486573197   3.394123053    2.486941031    1.492435792    0.009378475582 0.1928757459   0.1689802003   -0.006246706576 0.4704908829   
14       I1         0.3160663151   2.357674334    3.01046998     0.3397412588   0.3414622524   1.001748151    3.109061162    1.277491723    0.03287626055  0.1080498426   0.1722077127   0.05371289709  0.4324064073   
15       I1         1.043622035    2.250487389    2.757161432    0.9796379121   0.2101655837   2.584305403    2.120035492    1.126898341    0.07522853988  0.4509735349   0.285487308    0.6330650399   0.1493671202   
16       I1         1.060029389    2.110709864    3.827213992    0.4492392441   0.9251221617   2.04783647     2.001481473    2.987323265    0.1231465186   0.4744628513   0.2006014058   -0.564676049   0.4595407379   
17       I1         1.889074199    1.43732954     3.091685818    0.7728527275   0.7372736794   5.526973876    1.421382374    0.7954323962   0.00675804169  0.3173779611   0.202097618    0.242356466    0.2849038602   
18       I1         1.630208966    2.014978683    2.683784505    0.595768273    0.09676746852  5.842297847    1.659801522    1.476364732    0.03827675159  0.4813996411   0.1340795214   -0.5867455713  0.7256135214   
19       I1         1.836534251    2.209231162    4.357984449    0.3576384864   0.2548298908   4.87901256     2.640794539    0.5610207874   0.04737993652  0.3504543059   0.1189090775   0.1930651112   0.4543559212   
20       I1         1.81565993     2.133984655    3.852631937    0.541778606    0.1919118726   0.9213748418   3.368654007    2.949854696    0.06515690131  0.1874591727   0.2036457296   -0.1462001994  0.1579522151   
21       I1         1.794343393    1.549901358    3.180371454    0.9538877546   0.2394207409   9.1037054      1.278774894    0.6343833602   0.04337993949  0.3017936233   0.2151182569   -0.025189996   0.3726938527   
22       I1         0.9614019113   1.361384978    2.654786181    0.3003703613   0.7983745614   4.009172571    1.369440362    0.07479989212  0.142922279    0.3622376689   0.1926087805   -0.1894813844  0.4211466174   
