%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold snow_insulation_k baseflow_Q     log__routing_K neg_kge        
1        I1         0.4552595495   2.488531847    3.63207404     0.368880236    0.9087467498   2.073431759    2.525981301    2.721607916    0.06904737083  0.1658824363   0.3837417271   0.1938548338   
2        I1         1.815934321    2.680127378    2.767248125    0.06021600091  0.2239289244   6.315550258    3.081848135    0.3473174537   0.1386862285   0.1727298956   0.04621523853  0.6110385051   
3        I1         1.559430362    2.201317947    2.983373812    0.2011009297   0.3045696348   8.703049179    2.782450497    1.730970536    0.09355041593  0.1477325845   0.4431735609   0.4625035922   
4        I1         1.200518864    1.322749343    2.615440332    0.9711978667   0.6396143959   7.585434032    2.55694486     0.08861374577  0.03722880863  0.2108738415   0.09398135792  0.2127582285   
5        I1         1.230764125    1.740200609    3.469245654    0.1946010934   0.3700228634   5.581352577    2.314827831    0.245910656    0.1050729898   0.2433638436   -0.741666414   0.3488596972   
6        I1         1.498235502    1.823230549    2.687332496    0.2887668062   0.2375262317   7.03016898     1.737073229    0.8799337468   0.08429907018  0.1214281585   0.1561790879   0.3584215077   
7        I1         1.3490471      1.607062876    2.782108588    0.1423160262   0.8255057529   5.870925088    2.581542838    1.653641993    0.1179277192   0.2139616593   -0.8011054762  0.2737390346   
8        I1         0.5874682381   2.309147292    3.195114581    0.9575132077   0.3331156004   3.558779445    2.088695206    1.962334482    0.1368015372   0.1411935278   -0.09661404854 0.6452104866   
9        I1         1.069000019    1.299671974    3.075562603    0.3947952275   0.3128979224   5.814931171    3.102060641    0.9032487203   0.02252107805  0.1280485218   -0.6337649715  0.4040811611   
10       I1         0.5144262091   1.487285369    4.145470396    0.9534866534   0.7054546704   3.486612735    2.536759611    2.019138801    0.1364071208   0.1117767091   -0.2077530069  0.8269868068   
11       I1         1.618362611    2.049813049    3.639907075    0.5394486182   0.1685791455   9.849586199    1.04606843     1.9455307      0.1472330434   0.2053990244   -0.5968521011  1.107079278    
12       I1         1.151278613    1.496423881    2.804628639    0.7968582963   0.1790726062   5.618450393    3.40027001     0.220408035    0.1287138076   0.2492729572   0.5110696283   0.2014384192   
13       I1         1.479476688    1.780657403    2.520144982    0.2506824008   0.9023741      3.585673627    1.914951077    0.5036395973   0.09462798458  0.003476111197 0.7859526865   1.145184735    
14       I1         1.799934239    2.353332986    3.042674409    0.3205776368   0.4123488404   6.48335404     2.812952815    0.05117857487  0.1157453686   0.1293247969   -0.7942166096  0.40743818     
15       I1         1.542088596    1.290716929    2.83496418     0.4191608878   0.3148766168   2.596206367    3.28839053     1.12458415     0.02510282177  0.262305674    -0.2241607101  0.3310344684   
16       I1         0.4479365181   1.637809805    3.362561772    0.4929807404   0.4852475744   0.701920532    2.273167593    0.6273333389   0.09864788135  0.2928139658   -0.9782573847  0.3674841157   
17       I1         0.9481382881   1.219835666    3.18661111     0.9014394052   0.6631821369   5.955674479    1.392631896    0.9477062294   0.1497937356   0.2457264717   0.107908699    0.362489233    
18       I1         1.956310536    2.030189091    4.109591472    0.1350522446   0.5565208168   0.803349096    1.97242533     1.853799801    0.09306194737  0.2751015976   0.3255994678   0.4139374848   
19       I1         0.3107108767   2.161198875    3.992164059    0.8392264346   0.2087928288   3.161734854    2.390442615    1.111286656    0.0276572766   0.00584659876  0.2213100288   1.898360955    
20       I1         1.82491466     2.653075503    2.657896966    0.2089163743   0.9684807231   9.688580275    3.147121145    1.919275367    0.1230817213   0.1682156437   -0.2819413317  0.5290597493   
21       I1         1.636678545    2.372407311    4.292586158    0.05106478175  0.2536875913   5.133200276    1.882513269    2.681929217    0.04461754045  0.2821942264   0.3499064626   0.5040128213   
22       I1         0.39845222     2.007974284    2.741246095    0.8314936832   0.03002443055  6.953071345    3.006983899    0.8881793251   0.1071975463   0.02009185294  -0.5257492351  1.77028099     
23       I1         1.748286095    1.930591487    3.33756519     0.1985720714   0.5611679837   7.310678901    2.982602896    2.174535434    0.02610233661  0.2153304974   0.7100525169   0.5219349968   
24       I1         1.488799289    1.239487442    3.938366512    0.0138220575   0.2602711335   9.218734886    2.60466547     1.993753293    0.08062046257  0.01549829073  -0.3399602847  0.4857153049   
25       I1         1.574434238    1.248939516    2.674299496    0.8261550649   0.6746964876   7.187073331    2.749416291    0.7740339214   0.0117222403   0.1025959838   -0.3110670586  0.4166307471   
26       I1         0.3177406747   2.232347639    2.808007965    0.7426416074   0.05784624219  4.563016676    1.182338469    1.756551853    0.1331238257   0.1978858308   0.9168675678   0.2373046717   
27       I1         1.250014581    1.005001595    3.190784844    0.9243459712   0.2156810159   2.891081887    3.160608938    1.228988248    0.1139955595   0.1648347638   0.7772031409   0.2955755847   
28       I1         0.7603459946   2.095049203    3.113606452    0.4342557839   0.2877460165   8.158161341    1.752894144    0.1863946817   0.1111344308   0.08278451048  0.9876353271   0.4849172233   
29       I1         0.6957140961   1.580142564    3.306796818    0.8644663599   0.2999623596   6.296109337    2.562418642    1.609373634    0.131242177    0.2348752406   -0.4248443865  0.3922221091   
30       I1         1.162721522    2.397986451    4.042251232    0.2366521052   0.2176088771   0.4714102173   3.489893899    0.6543002893   0.0879881743   0.2330524094   -0.3485607168  0.376405006    
31       I1         1.269443469    1.022174469    2.85479035     0.7643935641   0.805928482    3.783799195    3.498405599    2.116017835    0.0468703918   0.1061684201   -0.217808231   0.4774439009   
32       I1         0.4433185135   2.455724537    2.908180833    0.6177638289   0.8329797208   8.893932136    1.457105575    1.897782895    0.1461496317   0.1698511598   0.8699096605   0.2722609738   
33       I1         1.280854117    1.846727143    4.006081118    0.5540566055   0.9848527638   1.683142635    2.406973527    1.886579956    0.0778977386   0.2875151759   0.2443561238   0.2846556008   
34       I1         0.3052678245   1.783104062    4.353231216    0.4496035419   0.2025505396   4.78116836     2.857879381    0.8916820488   0.08527533361  0.2363921475   0.9676705143   0.2464590697   
35       I1         1.160758497    1.985846631    3.447680515    0.5748104646   0.03786302582  3.831712223    2.971264849    2.021026004    0.001182908141 0.2017823462   -0.6108123123  0.2078377042   
36       I1         0.4301140715   1.457724002    3.385764139    0.4832078674   0.9527122088   4.365068302    1.591318896    0.9910281888   0.1048580881   0.2002471724   -0.7870193028  0.5884902971   
37       I1         0.9059262998   1.901955297    4.284302384    0.1448942896   0.2819903394   6.165109595    1.780841718    2.761166646    0.02674239864  0.04365524119  0.3597925704   0.303460626    
38       I1         1.583172998    2.024418459    3.151201792    0.01761344909  0.2340491312   4.247479126    1.445860462    1.035058946    0.03965215925  0.1125971034   -0.8570744365  1.240525824    
39       I1         1.783188645    2.25008588     3.784201027    0.5316747404   0.6084285145   6.104156355    2.279363941    0.6780633394   0.06589372763  0.2913877347   -0.8271208242  0.4923740223   
40       I1         1.225710618    1.386281804    4.360787384    0.6558531331   0.3294683232   4.727184153    1.317125486    0.1265346684   0.1326159032   0.03189160279  0.2147257585   1.24581639     
41       I1         1.340856682    1.40414358     4.264413472    0.2578996488   0.6908226698   5.524604038    1.193195169    1.057347563    0.005191392418 0.07169743118  0.590791813    0.7422306216   
42       I1         0.9989670997   1.850722746    2.863239585    0.7362907138   0.09428000369  9.65776003     2.627786828    1.787944327    0.01244245986  0.06687074617  0.5733102188   0.6674966731   
43       I1         1.040563043    1.328667274    3.961198443    0.7479293057   0.15576903     2.715362389    2.057926537    1.446196789    0.1449201112   0.039399362    0.2745411468   0.9045512999   
44       I1         0.6296351808   2.074017228    3.253518959    0.3637232882   0.9310201391   0.5941868708   2.706674091    0.3154873159   0.1031862129   0.05048881643  -0.01552591087 0.8882489174   
45       I1         1.031569625    1.74754868     2.702744019    0.7102397642   0.979447786    6.61131203     1.921338824    1.974810004    0.06008058436  0.2571644385   -0.8528340664  0.2060408738   
46       I1         1.88843912     1.833095461    4.413056666    0.8742615238   0.8014879318   8.569121207    2.2945428      2.322124854    0.02434920231  0.110585624    0.2888955735   0.3438942359   
47       I1         0.5783994492   1.987294004    3.409406389    0.3534372038   0.5671904152   7.990311883    1.499940044    0.7398747344   0.1410672281   0.1985819272   -0.5075881533  0.5936544488   
48       I1         1.670202853    1.124789684    2.789409178    0.6578579263   0.06784710513  0.1747179927   1.47547493     1.667144104    0.1281063483   0.07068184228  0.5809052164   0.7511566222   
49       I1         1.324356168    1.763486224    3.929824668    0.1717771929   0.8833437898   6.352420219    1.500558745    2.079389505    0.03170786377  0.2706983317   0.259361548    0.2757142058   
50       I1         0.869678216    2.215010462    3.024145158    0.08532162429  0.2851235629   4.019669975    1.890272128    2.62411397     0.1437396742   0.2600180342   -0.9821993843  0.5711181108   
51       I1         1.434442838    2.559012186    2.726943377    0.668142229    0.6290082472   5.656863288    1.636511103    0.722789629    1.456431299e-05 0.1193752012   -0.5833347465  0.7629660824   
52       I1         0.5744913194   2.129963821    3.014647514    0.9569122946   0.3931840479   6.59679333     3.047077183    2.828569128    0.04259969905  0.2384818733   0.3441908385   0.2790188238   
53       I1         1.335763744    2.141465459    3.325752487    0.5167904168   0.9077946181   1.857627286    2.034118778    2.20981977     0.1001341298   0.08451737442  -0.5434761679  0.4141706391   
54       I1         1.708819711    1.950323918    4.01903848     0.5665403297   0.7855111937   5.567548951    1.409865042    0.1371337249   0.07000582492  0.07716163663  0.01897259349  0.9818284482   
